artist_id,artist_first_name,artist_last_name,country,bio,genre,join_date
1,Ed,Sheeran,United Kingdom,Grammy-winning singer-songwriter known for looping and acoustic pop.,Pop,15/03/2021
2,Arijit,Singh,India,Playback singer celebrated for his soulful and romantic Bollywood songs.,Bollywood/Pop,22/07/2020
3,Taylor,Swift,United States,"Global pop icon, known for narrative songwriting across multiple genres.",Pop,01/11/2019
4,Katy,Perry,United States,"Pop star famous for vibrant, catchy anthems and theatrical performances.",Pop,10/01/2021
5,Beyoncé,Knowles,United States,"Queen Bey, a powerhouse vocalist and cultural icon in R&B and Pop.",R&B,28/09/2019
6,The,Weeknd,Canada,R&B and Pop artist known for his dark thematic content and falsetto.,R&B/Pop,18/04/2020
7,Dua,Lipa,United Kingdom,Global disco-pop sensation with a distinctive low vocal tone.,Pop/Disco,05/06/2021
8,Bad,Bunny,Puerto Rico,"Latin trap and reggaeton superstar, one of the most streamed artists globally.",Reggaeton,01/12/2020
9,Billie,Eilish,United States,"Alternative Pop artist known for her whispered vocals and dark, innovative sound.",Alt Pop,14/02/2022
10,Drake,,Canada,Highly influential rapper and singer known for blending hip-hop and R&B.,Hip-Hop,05/10/2019
11,Rihanna,,Barbados,"Pop and R&B mogul, celebrated for her vocal versatility and fashion.",R&B/Pop,30/05/2022
12,BTS,,South Korea,"K-Pop boy band with a massive global following, known for socially conscious lyrics.",K-Pop,20/01/2020
13,Adele,,United Kingdom,Soulful singer-songwriter famous for powerful vocals and emotional ballads.,Soul,25/10/2021
14,Kendrick,Lamar,United States,Critically acclaimed rapper known for complex narratives and political themes.,Hip-Hop,03/04/2022
15,Coldplay,,United Kingdom,Rock band famous for stadium anthems and emotionally driven music.,Pop Rock,12/08/2021
16,Lady,Gaga,United States,Pop chameleon known for her artistic reinventions and powerful vocal performances.,Pop,29/02/2020
17,Imagine,Dragons,United States,"Alt-Rock band with powerful, percussive tracks.",Alt Rock,01/01/2022
18,Doja,Cat,United States,"Rapper and singer known for her versatility across Pop, R&B, and Hip-Hop.",Pop/Hip-Hop,19/07/2021
19,Justin,Bieber,Canada,Pop idol who rose to fame early and has maintained global stardom.,Pop,08/09/2020
20,Karol,G,Colombia,Reggaeton and Latin Pop singer known as a leading figure in the Latin music scene.,Reggaeton,26/04/2021
21,Blackpink,,South Korea,"Global K-Pop girl group, famous for their ""girl crush"" concept and high production value.",K-Pop,10/03/2022
22,Bruno,Mars,United States,"Singer, songwriter, and multi-instrumentalist blending Pop, R&B, and Funk.",Pop/Funk,19/12/2019
23,John,Legend,United States,"R&B singer, EGOT winner, known for his smooth vocals and piano ballads.",R&B,11/06/2020
24,George,Ezra,United Kingdom,"Singer-songwriter with a deep baritone voice, known for folk-pop music.",Folk Pop,01/09/2021
25,Shreya,Ghoshal,India,Highly versatile and popular playback singer in Indian cinema.,Bollywood/Pop,03/03/2020
